AnalysisN;Comment;K2O;TiO2;FeO;MnO;CaO;Cr2O3;Na2O;Al2O3;SiO2;MgO;Total;Date
215;2019-08-28-CL-18-06A_03_diopsidio;0,00;0,04;1,12;0,00;25,16;0,01;0,03;0,28;55,85;18,87;101,35;28/08/2019 14:17
216;2019-08-28-CL-18-06A_03_diopsidio;0,01;0,02;0,76;0,01;25,32;0,00;0,03;0,29;55,35;18,59;100,37;28/08/2019 14:20
217;2019-08-28-CL-18-06A_03_diopsidio;0,00;0,05;0,80;0,00;25,25;0,02;0,01;0,20;55,02;18,23;99,59;28/08/2019 14:22
218;2019-08-28-CL-18-06A_03_diopsidio;0,00;0,04;0,71;0,00;25,41;0,00;0,01;0,10;54,62;18,43;99,32;28/08/2019 14:25
219;2019-08-28-CL-18-06A_03_diopsidio;0,00;0,04;0,78;0,03;25,46;0,00;0,02;0,12;55,06;18,44;99,95;28/08/2019 14:27
220;2019-08-28-CL-18-06A_03_flogopita;9,07;0,23;1,66;0,00;0,04;0,04;0,27;13,50;41,40;27,26;93,47;28/08/2019 14:30
221;2019-08-28-CL-18-06A_03_flogopita;9,04;0,27;1,78;0,01;0,02;0,01;0,24;14,65;40,32;26,76;93,10;28/08/2019 14:32
222;2019-08-28-CL-18-06A_03_olivina;0,07;0,01;5,82;0,01;0,12;0,00;0,02;0,04;57,11;28,95;92,15;28/08/2019 14:35
223;2019-08-28-CL-18-06A_03_olivina;0,08;0,01;5,83;0,02;0,09;0,01;0,02;0,06;56,89;28,46;91,47;28/08/2019 14:37
224;2019-08-28-CL-18-06B_01_si_mg;0,00;0,07;2,09;0,02;0,04;0,01;0,10;0,29;62,25;30,66;95,53;28/08/2019 17:59
225;2019-08-28-CL-18-06B_01_si_mg;0,01;0,05;1,94;0,00;0,06;0,00;0,06;0,17;61,17;29,61;93,07;28/08/2019 18:02
226;2019-08-28-CL-18-06B_01_anf_pirox;0,13;0,09;1,11;0,01;13,41;0,00;0,45;1,57;55,38;23,32;95,48;28/08/2019 18:04
227;2019-08-28-CL-18-06B_01_anf_pirox;0,01;0,01;0,75;0,03;29,52;0,00;0,02;0,00;0,05;20,63;51,02;28/08/2019 18:07
228;2019-08-28-CL-18-06B_02_anfibolio;0,15;0,08;1,56;0,03;13,13;0,04;0,48;2,10;55,69;23,30;96,55;28/08/2019 18:09
229;2019-08-28-CL-18-06B_02_anfibolio;0,04;0,06;1,35;0,02;13,53;0,04;0,15;0,66;56,34;23,19;95,37;28/08/2019 18:12
230;2019-08-28-CL-18-06B_02_anfibolio;0,05;0,06;1,40;0,01;13,39;0,04;0,09;0,37;57,37;23,52;96,30;28/08/2019 18:14
231;2019-08-28-CL-18-06B_02_anfibolio;0,05;0,06;0,99;0,04;13,54;0,00;0,15;1,37;57,02;23,68;96,90;28/08/2019 18:17
232;2019-08-28-CL-18-06B_02_anfibolio;0,09;0,04;1,37;0,04;13,36;0,00;0,30;1,00;56,28;23,33;95,82;28/08/2019 18:19
233;2019-08-28-CL-18-06B_02_diopsidio;0,00;0,06;0,77;0,00;25,82;0,00;0,02;0,06;54,05;18,24;99,02;28/08/2019 18:22
234;2019-08-28-CL-18-06B_02_diopsidio;0,01;0,05;0,56;0,00;25,71;0,00;0,01;0,01;54,56;18,17;99,08;28/08/2019 18:24
235;2019-08-28-CL-18-06B_02_diopsidio;0,00;0,04;0,99;0,01;25,22;0,02;0,02;0,29;54,62;18,28;99,49;28/08/2019 18:27
236;2019-08-28-CL-18-06B_02_diopsidio;0,00;0,04;0,74;0,02;25,72;0,00;0,01;0,03;53,91;17,87;98,35;28/08/2019 18:29
237;2019-08-28-CL-18-06B_02_incognita;0,02;0,02;12,45;0,00;0,37;0,01;0,01;0,01;45,72;27,68;86,28;28/08/2019 18:32
238;2019-08-28-CL-18-06B_02_incognita;0,02;0,03;12,73;0,01;0,37;0,02;0,02;0,01;45,46;27,62;86,28;28/08/2019 18:34
239;2019-08-28-CL-18-06B_02_incognita;0,05;0,02;11,98;0,00;0,28;0,01;0,04;0,04;46,24;29,22;87,87;28/08/2019 18:37
240;2019-08-28-CL-18-06B_02_incognita;0,07;0,02;7,64;0,00;0,21;0,00;0,04;0,01;50,52;30,13;88,63;28/08/2019 18:39
241;2019-08-28-CL-18-06B_02_incognita;0,06;0,00;7,21;0,03;0,19;0,00;0,02;0,03;50,68;28,85;87,08;28/08/2019 18:42
242;2019-08-28-CL-18-063_01_flogopita;8,79;0,44;1,26;0,03;0,13;0,02;0,35;14,86;40,19;27,70;93,77;28/08/2019 18:44
243;2019-08-28-CL-18-063_01_flogopita;9,34;0,49;1,11;0,01;0,05;0,00;0,41;14,37;41,28;27,02;94,07;28/08/2019 18:47
244;2019-08-28-CL-18-063_01_flogopita;8,63;0,34;1,24;0,00;0,07;0,00;0,40;15,87;39,45;27,39;93,39;28/08/2019 18:49
245;2019-08-28-CL-18-063_01_olivina;0,00;0,00;3,76;0,06;0,04;0,03;0,02;0,02;42,15;55,31;101,38;28/08/2019 18:52
246;2019-08-28-CL-18-063_01_olivina;0,00;0,02;3,80;0,05;0,04;0,00;0,00;0,01;41,75;55,12;100,79;28/08/2019 18:54
247;2019-08-28-CL-18-063_01_olivina;0,00;0,02;3,84;0,06;0,00;0,01;0,00;0,04;41,54;55,22;100,73;28/08/2019 18:57
248;2019-08-28-CL-18-063_01_serpentina;0,03;0,02;2,77;0,02;0,26;0,00;0,00;0,06;46,97;37,10;87,22;28/08/2019 18:59
249;2019-08-28-CL-18-063_01_serpentina;0,02;0,00;1,75;0,01;0,06;0,00;0,02;0,11;41,94;41,58;85,49;28/08/2019 19:02
250;2019-08-28-CL-18-063_01_serpentina;0,00;0,00;1,36;0,00;0,04;0,00;0,02;0,02;42,89;41,33;85,67;28/08/2019 19:04
251;2019-08-28-CL-18-063_01_serpentina;0,01;0,14;1,07;0,01;0,07;0,01;0,01;17,74;33,41;35,02;87,49;28/08/2019 19:07
252;2019-08-28-CL-18-063_01_serpentina;0,01;0,01;1,15;0,00;0,02;0,00;0,00;0,01;42,86;42,15;86,20;28/08/2019 19:09
253;2019-08-28-CL-18-063_01_serpentina;0,00;0,01;0,83;0,01;0,09;0,00;0,00;0,04;43,00;42,42;86,39;28/08/2019 19:12
254;2019-08-28-CL-18-063_02_incognita;0,01;0,01;5,42;0,08;0,26;0,00;0,01;0,05;48,01;34,90;88,75;28/08/2019 19:14
255;2019-08-28-CL-18-063_02_incognita;0,07;0,02;5,01;0,08;0,33;0,01;0,06;0,05;50,03;32,97;88,63;28/08/2019 19:17
256;2019-08-28-CL-18-063_02_incognita;0,01;0,02;0,60;0,04;29,87;0,03;0,00;0,00;0,03;21,12;51,72;28/08/2019 19:19
257;2019-08-28-CL-18-063_02_diopsidio;0,00;0,00;0,49;0,02;29,84;0,00;0,01;0,01;0,00;21,34;51,72;28/08/2019 19:22
258;2019-08-28-CL-18-063_02_diopsidio;0,00;0,09;0,53;0,00;25,82;0,00;0,00;0,01;54,90;18,98;100,33;28/08/2019 19:24
259;2019-08-28-CL-18-063_02_diopsidio;0,00;0,06;0,49;0,00;25,74;0,00;0,00;0,07;54,54;18,36;99,25;28/08/2019 19:27
260;2019-08-28-CL-18-063_02_serpentina;0,00;0,11;0,52;0,00;0,02;0,00;0,03;0,14;43,03;41,53;85,38;28/08/2019 19:29
261;2019-08-28-CL-18-063_02_serpentina;0,00;0,03;1,21;0,01;0,02;0,03;0,02;0,00;42,98;41,32;85,62;28/08/2019 19:32
262;2019-08-28-CL-18-063_02_serpentina;0,02;0,03;4,01;0,01;0,48;0,00;0,03;0,23;40,49;39,86;85,16;28/08/2019 19:34
263;2019-08-28-CL-18-063_02_serpentina;0,00;0,04;5,99;0,02;0,33;0,00;0,02;0,03;47,39;34,00;87,83;28/08/2019 19:37
264;2019-08-28-CL-18-063_02_anfibolio;0,20;0,21;0,95;0,01;13,42;0,01;0,85;4,11;55,04;23,25;98,04;28/08/2019 19:39
265;2019-08-28-CL-18-063_02_anfibolio;0,22;0,42;1,00;0,00;13,50;0,00;0,92;4,83;53,78;22,90;97,56;28/08/2019 19:42
266;2019-08-28-CL-18-063_03_anfibolio;0,19;0,14;0,91;0,01;13,42;0,00;0,54;2,93;55,62;23,68;97,44;28/08/2019 19:44
267;2019-08-28-CL-18-063_03_anfibolio;0,18;0,16;0,91;0,00;13,55;0,04;0,62;2,81;55,82;23,86;97,96;28/08/2019 19:47
268;2019-08-28-CL-18-063_03_diopsidio;0,00;0,08;0,62;0,03;25,54;0,01;0,01;0,05;54,51;18,46;99,31;28/08/2019 19:49
269;2019-08-28-CL-18-063_03_olivina;0,00;0,01;4,79;0,08;0,05;0,02;0,00;0,00;40,96;53,33;99,24;28/08/2019 19:52
270;2019-08-28-CL-18-063_03_olivina;0,00;0,00;4,86;0,04;0,07;0,00;0,01;0,00;41,44;53,61;100,04;28/08/2019 19:54
271;2019-08-28-CL-18-063_03_incognita;0,01;0,04;1,84;0,00;0,03;0,00;0,00;14,92;31,85;34,23;82,93;28/08/2019 19:57
272;2019-08-28-CL-18-063_03_incognita;0,11;0,07;1,57;0,00;0,39;0,00;0,21;19,15;31,32;33,64;86,45;28/08/2019 19:59
273;2019-08-28-PCL-1CA_01-flogopita;9,21;0,43;4,22;0,04;0,00;0,26;0,61;14,21;41,68;25,01;95,67;28/08/2019 20:02
274;2019-08-28-PCL-1CA_01-flogopita;8,97;0,49;4,70;0,00;0,00;0,23;0,68;15,77;39,20;24,21;94,25;28/08/2019 20:04
275;2019-08-28-PCL-1CA_01-flogopita;9,43;0,47;4,36;0,00;0,01;0,26;0,63;15,24;40,53;24,41;95,34;28/08/2019 20:07
276;2019-08-28-PCL-1CA_01-clorita;0,00;0,08;5,27;0,04;0,04;0,31;0,02;20,90;29,58;30,33;86,57;28/08/2019 20:10
277;2019-08-28-PCL-1CA_01-clorita;0,01;0,03;5,03;0,06;0,02;0,57;0,00;17,24;31,58;31,74;86,29;28/08/2019 20:12
278;2019-08-28-PCL-1CA_01-clorita;0,03;0,06;5,08;0,03;0,02;0,56;0,01;18,07;31,32;31,93;87,11;28/08/2019 20:15
279;2019-08-28-PCL-1CA_01-clorita;0,00;0,05;5,02;0,03;0,01;0,63;0,01;18,42;31,19;31,59;86,95;28/08/2019 20:17
280;2019-08-28-PCL-1CA_01-clorita;0,00;0,06;5,02;0,08;0,01;0,25;0,02;17,74;31,44;32,23;86,85;28/08/2019 20:20
281;2019-08-28-PCL-1CA_01-clorita;0,00;0,07;5,22;0,03;0,10;0,19;0,00;19,56;30,50;31,10;86,78;28/08/2019 20:22
282;2019-08-28-PCL-1CA_01-clorita;0,01;0,06;5,58;0,02;0,00;0,15;0,01;22,76;28,40;29,92;86,93;28/08/2019 20:25
283;2019-08-28-PCL-1CA_02_al-mg-fe;0,01;0,04;17,98;0,19;0,00;1,36;0,04;62,31;0,04;16,09;98,06;28/08/2019 20:27
284;2019-08-28-PCL-1CA_02_al-mg-fe;0,01;0,04;17,82;0,17;0,03;1,39;0,01;61,42;0,02;16,25;97,17;28/08/2019 20:30
285;2019-08-28-PCL-1CA_02_al-mg-fe;0,00;0,03;17,54;0,20;0,00;1,44;0,02;61,99;0,00;16,20;97,42;28/08/2019 20:32
286;2019-08-28-PCL-1CA_02_al-mg-fe;0,00;0,04;17,97;0,19;0,02;1,46;0,03;61,33;0,02;15,93;97,00;28/08/2019 20:35
287;2019-08-28-PCL-1CA_02_flogopita;8,85;0,50;4,80;0,00;0,04;0,14;0,73;15,53;39,41;24,14;94,14;28/08/2019 20:37
288;2019-08-28-PCL-1CA_02_flogopita;9,08;0,68;4,65;0,06;0,04;0,19;0,75;15,66;40,00;24,06;95,16;28/08/2019 20:40
289;2019-08-28-PCL-1CA_02_flogopita;9,15;0,44;4,56;0,04;0,00;0,12;0,50;15,11;39,93;24,29;94,13;28/08/2019 20:42
290;2019-08-28-PCL-1CA_02_clorita;0,00;0,05;4,97;0,02;0,02;0,08;0,02;17,99;31,47;31,88;86,51;28/08/2019 20:45
291;2019-08-28-PCL-1CA_02_clorita;0,00;0,06;5,46;0,04;0,01;0,13;0,00;20,63;30,33;31,03;87,70;28/08/2019 20:47
292;2019-08-28-PCL-1CA_02_clorita;0,02;0,04;5,17;0,01;0,01;0,24;0,02;18,88;30,89;31,48;86,77;28/08/2019 20:50
293;2019-08-28-PCL-1CA_02_clorita;0,00;0,06;5,30;0,05;0,00;0,07;0,00;19,61;30,24;30,92;86,26;28/08/2019 20:52
294;2019-08-28-PCL-1CA_02_clorita;0,01;0,05;5,43;0,02;0,04;0,11;0,00;19,36;30,59;31,13;86,75;28/08/2019 20:55
295;2019-08-28-PCL-1CA_02_clorita;0,00;0,08;5,21;0,06;0,01;0,14;0,01;20,36;30,01;30,82;86,69;28/08/2019 20:57
296;2019-08-28-PCL-1CA_02_clorita;0,01;0,04;4,95;0,04;0,02;0,05;0,01;18,39;31,17;31,96;86,65;28/08/2019 21:00
297;2019-08-28-PCL-1CA_02_clorita;0,00;0,09;5,56;0,00;0,01;0,14;0,00;23,00;27,93;29,61;86,34;28/08/2019 21:02
298;2019-08-28-PCL-1CA_02_clorita;0,00;0,06;5,42;0,01;0,03;0,33;0,00;21,38;28,68;30,21;86,11;28/08/2019 21:05
299;2019-08-28-PCL-1CA_03_espinelio;0,00;0,04;18,22;0,20;0,00;1,96;0,02;61,13;0,01;16,80;98,37;28/08/2019 21:07
300;2019-08-28-PCL-1CA_03_espinelio;0,00;0,03;17,93;0,23;0,13;1,94;0,02;61,47;0,00;16,40;98,16;28/08/2019 21:10
301;2019-08-28-PCL-1CA_03_espinelio;0,00;0,03;17,68;0,17;0,04;1,12;0,04;62,49;0,00;16,36;97,93;28/08/2019 21:13
302;2019-08-28-PCL-1CA_03_espinelio;0,00;0,05;17,51;0,22;0,02;0,73;0,01;62,78;0,00;17,16;98,49;28/08/2019 21:15
303;2019-08-28-PCL-1CA_03_espinelio;0,00;0,04;18,47;0,22;0,01;1,26;0,02;61,86;0,00;17,06;98,94;28/08/2019 21:18
304;2019-08-28-PCL-1CA_03_espinelio;0,00;0,05;18,31;0,20;0,02;1,59;0,01;61,73;0,01;17,02;98,94;28/08/2019 21:20
305;2019-08-28-PCL-1CA_03_clorita;0,00;0,06;5,44;0,03;0,03;0,13;0,01;22,48;28,86;30,10;87,15;28/08/2019 21:23
306;2019-08-28-PCL-1CA_03_clorita;0,00;0,06;5,24;0,04;0,03;0,06;0,01;22,92;28,59;30,17;87,10;28/08/2019 21:25
307;2019-08-28-PCL-1CA_03_clorita;0,00;0,08;5,58;0,05;0,04;0,10;0,00;22,84;28,68;30,16;87,52;28/08/2019 21:28
308;2019-08-28-PCL-1CA_03_clorita;0,00;0,08;5,27;0,04;0,11;0,10;0,00;23,04;28,24;29,48;86,36;28/08/2019 21:30
309;2019-08-28-PCL-1CA_03_clorita;0,00;0,05;5,29;0,04;0,03;0,11;0,02;22,96;28,32;29,75;86,56;28/08/2019 21:33
310;2019-08-28-PCL-1CA_03_clorita;0,00;0,05;5,40;0,04;0,00;0,07;0,00;22,70;28,87;30,13;87,25;28/08/2019 21:35
311;2019-08-28-PCL-1CA_03_clorita;0,00;0,07;5,31;0,03;0,00;0,13;0,00;22,97;28,46;29,85;86,82;28/08/2019 21:38
312;2019-08-28-PCL-1CA_04_olivina;0,00;0,01;14,93;0,35;0,03;0,00;0,00;0,03;39,55;46,16;101,07;28/08/2019 21:41
313;2019-08-28-PCL-1CA_04_olivina;0,00;0,01;15,85;0,38;0,01;0,04;0,00;0,00;38,81;44,84;99,95;28/08/2019 21:43
314;2019-08-28-PCL-1CA_04_olivina;0,00;0,02;15,47;0,32;0,02;0,00;0,04;0,00;39,47;45,62;100,95;28/08/2019 21:46
315;2019-08-28-PCL-1CA_04_olivina;0,00;0,00;15,80;0,35;0,02;0,00;0,00;0,00;39,09;44,74;99,99;28/08/2019 21:48
316;2019-08-28-PCL-1CA_05_anfibolio;0,05;0,04;2,16;0,14;13,05;0,05;0,21;0,65;57,35;23,63;97,32;28/08/2019 21:51
317;2019-08-28-PCL-1CA_05_anfibolio;0,03;0,06;2,17;0,10;13,35;0,00;0,12;0,38;57,25;23,62;97,06;28/08/2019 21:53
318;2019-08-28-PCL-1CA_05_flogopita;8,96;0,36;5,70;0,02;0,02;0,00;0,12;14,56;39,34;24,86;93,94;28/08/2019 21:56
319;2019-08-28-PCL-1CA_05_flogopita;9,26;0,40;4,74;0,06;0,11;0,02;0,27;14,82;40,69;24,65;95,01;28/08/2019 21:58
320;2019-08-28-PCL-1CA_05_flogopita;9,69;0,45;4,62;0,06;0,05;0,02;0,46;15,90;39,48;23,97;94,69;28/08/2019 22:01
321;2019-08-28-PCL-1CA_05_clorita;0,00;0,07;5,59;0,05;0,04;0,00;0,02;23,01;28,29;29,89;86,96;28/08/2019 22:04
322;2019-08-28-PCL-1CA_05_clorita;0,00;0,07;5,15;0,06;0,06;0,07;0,00;20,13;30,10;31,03;86,67;28/08/2019 22:06
323;2019-08-28-PCL-1CA_05_clorita;0,00;0,01;0,19;0,01;0,00;0,01;0,00;0,01;98,14;0,00;98,38;28/08/2019 22:09
324;2019-08-28-PCL-1CA_05_clorita;0,00;0,04;5,58;0,03;0,01;0,08;0,00;22,52;28,99;30,03;87,28;28/08/2019 22:11
325;2019-08-28-PCL-1CA_05_clorita;0,00;0,05;5,69;0,06;0,00;0,20;0,00;23,75;28,11;29,49;87,36;28/08/2019 22:14
326;2019-08-28-PCL-1CA_05_clorita;0,01;0,06;5,61;0,00;0,05;0,27;0,01;22,97;27,73;29,49;86,21;28/08/2019 22:16
327;2019-08-28-PCL-1CA_perfil_clorita;0,07;0,08;5,28;0,06;0,02;0,02;0,00;20,05;30,01;30,66;86,26;28/08/2019 22:19
328;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,07;5,47;0,04;0,02;0,36;0,00;22,76;28,09;29,83;86,63;28/08/2019 22:21
329;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,07;5,47;0,06;0,01;0,17;0,00;21,92;29,05;30,29;87,04;28/08/2019 22:24
330;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,06;5,36;0,07;0,58;0,09;0,00;22,98;27,73;29,42;86,31;28/08/2019 22:26
331;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,06;5,64;0,05;0,00;0,13;0,00;23,69;27,87;29,27;86,72;28/08/2019 22:29
332;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,06;6,18;0,18;9,87;0,11;0,00;20,49;18,42;27,23;82,54;28/08/2019 22:32
333;2019-08-28-PCL-1CA_perfil_clorita;0,00;1,26;3,26;0,00;3,94;0,38;0,85;29,57;35,03;11,91;86,20;28/08/2019 22:34
334;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,08;5,58;0,03;0,00;0,12;0,00;23,57;28,34;29,51;87,21;28/08/2019 22:37
335;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,07;5,47;0,04;0,00;0,21;0,00;21,97;29,02;29,95;86,74;28/08/2019 22:39
336;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,04;5,41;0,04;0,02;0,13;0,00;23,06;28,50;29,84;87,03;28/08/2019 22:42
337;2019-08-28-PCL-1CA_perfil_clorita;0,01;0,07;5,52;0,00;0,01;0,38;0,00;23,30;27,98;29,57;86,85;28/08/2019 22:44
338;2019-08-28-PCL-1CA_perfil_clorita;0,00;0,03;0,58;0,23;51,00;0,02;0,00;0,00;0,00;3,22;55,08;28/08/2019 22:47
339;2019-08-28-PCL-1CA_perfil_clorita;0,02;0,08;5,41;0,07;0,01;0,15;0,00;23,01;28,08;29,63;86,46;28/08/2019 22:49
340;2019-08-28-PCL-1CA_perfil_clorita;0,02;0,08;5,66;0,05;0,02;0,19;0,00;22,48;28,84;29,77;87,12;28/08/2019 22:52
341;2019-08-28-PCL-1CA_perfil_clorita;0,09;0,08;5,64;0,05;0,04;0,17;0,03;22,89;28,51;29,93;87,42;28/08/2019 22:55
342;2019-08-28-PCL-1CA_perfil_clorita;0,05;0,07;5,10;0,04;0,01;0,19;0,00;18,58;30,96;31,60;86,59;28/08/2019 22:57
343;2019-08-28-PCL-1CA_06_olivina;0,01;0,01;14,62;0,32;0,03;0,01;0,00;0,00;39,82;46,28;101,11;28/08/2019 23:00
344;2019-08-28-PCL-1CA_06_olivina;0,01;0,00;15,14;0,33;0,06;0,02;0,00;0,01;39,14;45,42;100,12;28/08/2019 23:02
345;2019-08-28-PCL-1CA_06_anfibolio;0,03;0,05;2,54;0,03;13,18;0,05;0,09;0,29;57,91;23,70;97,86;28/08/2019 23:05
346;2019-08-28-PCL-1CA_06_anfibolio;0,00;0,00;1,68;0,24;29,31;0,00;0,01;0,03;0,02;20,36;51,66;28/08/2019 23:07
347;2019-08-28-PCL-1CA_06_anfibolio;0,00;0,00;1,65;0,18;29,60;0,00;0,01;0,02;0,00;19,86;51,32;28/08/2019 23:10
348;2019-08-28-PCL-1CB_01_biotita;9,04;0,42;4,72;0,04;0,00;0,07;0,72;15,91;39,09;23,63;93,65;28/08/2019 23:13
349;2019-08-28-PCL-1CB_01_biotita;9,28;0,47;4,57;0,01;0,00;0,10;0,81;16,93;38,27;23,06;93,50;28/08/2019 23:15
350;2019-08-28-PCL-1CB_01_biotita;9,27;0,36;4,45;0,03;0,00;0,02;0,79;15,18;39,77;23,93;93,80;28/08/2019 23:18
351;2019-08-28-PCL-1CB_01_clorita;0,00;0,06;5,24;0,02;0,05;0,07;0,02;21,17;28,95;29,68;85,27;28/08/2019 23:20
352;2019-08-28-PCL-1CB_01_clorita;0,01;0,07;5,37;0,03;0,03;0,38;0,01;20,38;29,46;29,96;85,71;28/08/2019 23:23
353;2019-08-28-PCL-1CB_01_clorita;0,08;0,05;5,51;0,04;0,02;0,07;0,00;20,08;29,64;29,88;85,38;28/08/2019 23:25
354;2019-08-28-PCL-1CB_01_clorita;0,03;0,07;5,45;0,07;0,02;0,04;0,02;20,73;29,11;29,79;85,32;28/08/2019 23:28
355;2019-08-28-PCL-1CB_02_biotita;9,22;0,31;3,78;0,01;0,01;0,13;0,61;14,70;40,25;24,47;93,49;28/08/2019 23:31
356;2019-08-28-PCL-1CB_02_biotita;8,52;0,23;4,01;0,02;0,00;0,44;0,58;15,68;38,59;24,42;92,48;28/08/2019 23:33
357;2019-08-28-PCL-1CB_02_biotita;8,94;0,35;3,96;0,07;0,07;0,14;0,66;14,50;39,59;24,39;92,67;28/08/2019 23:36
358;2019-08-28-PCL-1CB_03_flogopita;9,74;0,26;4,10;0,02;0,06;0,01;0,34;14,67;40,20;23,96;93,35;28/08/2019 23:38
359;2019-08-28-PCL-1CB_03_flogopita;9,26;0,20;4,18;0,00;0,01;0,00;0,83;14,85;39,54;19,65;88,51;28/08/2019 23:41
360;2019-08-28-PCL-1CB_03_flogopita;9,17;0,30;4,24;0,02;0,05;0,04;0,77;14,95;40,54;24,43;94,52;28/08/2019 23:44
361;2019-08-28-PCL-1CB_03_flogopita;9,67;0,27;4,13;0,00;0,00;0,06;0,48;15,28;39,80;23,95;93,64;28/08/2019 23:46
362;2019-08-28-PCL-1CB_03_flogopita;9,41;0,30;4,31;0,01;0,01;0,14;0,68;15,21;39,50;23,82;93,38;28/08/2019 23:49
